qso_name,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,astrometric_pseudo_colour,astrometric_pseudo_colour_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
SDSS0806+2006,670520540382618496,121.59877695772131,0.32738948771170007,20.108884834762726,0.2111602608657307,0.6909678077170461,0.4003012336376242,1.7261196,-0.5149496273559306,0.6592623360498255,0.022328488067658324,0.46664125154122876,-0.397869,1.7618731531323462,0.06920679167634117,19.299053,19.21055,18.294935
SDSS0806+2006,670520540381514880,121.59838658229587,0.970989819465896,20.108694565722367,0.8999023417479326,-0.3191951870137331,0.9625931282025968,-0.33159927,2.5684484317163307,2.177502167962467,-1.174061565047983,2.055992612447923,-0.83263093,1.667022628494665,0.1619890294724578,20.05021,,
HS0810+2554,682614034415644032,123.38030267111606,0.6695244439759269,25.75086095081461,0.4691287353246671,,,,,,,,,,,16.100143,16.198185,15.172269
HS0810+2554,682614034415644160,123.38049319373614,54.29254765097994,25.751024680341615,36.36002251692111,,,,,,,,,,,18.963297,,
HS0818+1227,649514817411198976,125.41226020351374,0.2034639935984602,12.291665028357464,0.14281585967450905,0.11561652582004842,0.26301239982242247,0.43958583,0.5247513621714126,0.42959705111918517,0.461650668357622,0.2644035318634422,-0.3203724,1.6119155561082776,0.04174871655892458,18.580925,18.766735,18.020338
HS0818+1227,649514813118833792,125.41183307749863,3.030002092062932,12.292238253420111,2.34117244957808,,,,,,,,,,,20.677454,20.439898,18.857214
APM08279+5255,1028742871820206336,127.92378973466597,0.8179062336154214,52.75489453904009,1.1543624462539466,,,,,,,,,,,15.971572,16.68491,14.713055
SDSS0903+5028,1016218227493362816,135.89652205058286,0.4887672853874519,50.47228730815977,0.3812032755164369,-0.7869732125167818,0.6469473644118953,-1.2164409,0.030471339129681408,0.9239271834802736,-0.0966986213592956,0.8527633669945865,-0.030341169,1.3889637285891547,0.12324014612851085,20.074257,20.47415,18.852
SDSS0903+5028,1016218227494010240,135.89545922416593,2.8585351665072687,50.47188029167807,2.5051754329561606,,,,,,,,,,,20.91056,,
RXJ0911+0551,580537092879166848,137.86513579392255,0.516880794452126,5.848409993696288,0.5056598219693468,3.291522893404061,0.7162502395914143,4.595493,-7.759507106383872,1.026163925723045,-6.902547998492765,0.8691802448176674,-0.15953054,1.835193825936498,0.14901076048998743,18.783163,18.387457,17.802687
RXJ0911+0551,580537092879166720,137.8650625206142,48.451302450448296,5.848566143095022,21.752806481754607,,,,,,,,,,,19.76701,,
RXJ0911+0551,580537088586198656,137.86423190909804,0.646352921682018,5.848517233516062,0.4200301454467207,0.6707204743765606,0.6190329999574723,1.0834972,0.6240093541761457,1.3422832344644549,-0.5999428193990424,0.852334971116814,0.32074264,1.8335345731306443,0.16386035309463595,19.892673,19.812925,19.191841
SBS0909+523,1022663637669586176,138.2541767668402,0.15502056968766859,52.991386512228985,0.21362775247921872,0.21579477593370255,0.23846720854069386,0.90492433,-0.03400176958887213,0.29112454568625695,-3.4171845342489036,0.4659208204718832,-0.28230414,1.6051893060309126,0.03987025678758906,16.41671,16.445105,15.5515175
SBS0909+523,1022663637670776192,138.2546321106608,0.07550390847067776,52.991248358340165,0.1353024599150086,-0.046445817536499484,0.13609558921874715,-0.3412735,-0.16785216926284327,0.14723915220280404,0.7704789851509476,0.24915934261775846,-0.16797574,1.5416750007390543,0.024652527205710616,17.013699,16.71756,15.763869
RXJ0921+4529,818802426555148928,140.30346078848737,0.1546459996487653,45.48443986991872,0.14154320905888024,0.09795036466743892,0.23759324475162785,0.41226074,0.2891618676978265,0.33264876268046517,-0.03375488023616483,0.3945550306161168,-0.3885412,1.5990362993496767,0.03994199412011865,18.627987,18.812855,18.126833
SDSS0924+0219,3844748070752040576,141.23256103404597,0.2184700571513129,2.3237136831121905,0.20477008516552403,-0.07230007099170808,0.26591856159794325,-0.27188802,-0.35550371677572745,0.40157510241067246,0.6546468951166362,0.402066011684809,-0.3103912,1.6749320268531764,0.05613985589212555,18.381115,18.310507,17.607645
SDSS0924+0219,3844748075046370688,141.2325790119531,0.5972280749491271,2.3232116866320704,0.6245834681022551,1.0921074883583912,0.758194247700016,1.440406,-1.461395471798498,1.2284494658715448,-0.015200108087256269,1.283086930424985,-0.32368493,1.849764882536779,0.17446581576499293,19.945305,,
